dataset,initial_label,partner_label,reduced_dipole_au,reduced_dipole_unc_au,source,note
cooper_2018_515,5s2 1S0,5s5p 3P1,0.151,,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s2 1S0,5s5p 1P1,5.248,0.002,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s2 1S0,0.151,,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s4d 3D1,2.322,0.011,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s4d 3D2,4.019,0.020,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s4d 1D2,0.190,,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s6s 3S1,3.425,0.017,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s6s 1S0,0.045,,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s5d 1D2,0.061,,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s5d 3D1,2.009,0.020,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s5d 3D2,3.673,0.037,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5p2 3P0,2.657,0.027,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5p2 3P1,2.362,0.024,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5p2 3P2,2.865,0.029,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5p2 1D2,0.228,,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5p2 1S0,0.291,,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
cooper_2018_515,5s5p 3P1,5s7s 3S1,0.921,,Cooper et al. PRX 8 041055 (2018) Table I,Recommended matrix element
safronova_2013_813,5s5p 3P0,5s4d 3D1,2.675,0.013,Safronova et al. PRA 87 012509 (2013) Table V,Recommended matrix element at 813.4 nm clock-magic analysis
safronova_2013_813,5s5p 3P0,5s6s 3S1,1.962,0.010,Safronova et al. PRA 87 012509 (2013) Table V,Recommended matrix element at 813.4 nm clock-magic analysis
safronova_2013_813,5s5p 3P0,5s5d 3D1,2.450,0.024,Safronova et al. PRA 87 012509 (2013) Table V,Recommended matrix element at 813.4 nm clock-magic analysis
